Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged,clustered_book
"Mikuta, Zoe Hana",Gearbreakers (Gearbreakers Series),Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,Gearbreakers (Gearbreakers Series)
"Simons, Rae","Gender danger : survivors
 of rape, human trafficking,
 and honor killings",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2009,4,,"Gender danger : survivors
 of rape, human trafficking,
 and honor killings"
"Simons, Rae","Gender danger : survivors of rape, human trafficking, and honor killings",McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,"Gender danger : survivors
 of rape, human trafficking,
 and honor killings"
"Léonard, Marie
 des Neiges",Gender equality,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,3,,Gender equality
"Petrikowski, Nicki
 Peter",Gender identity,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2014,1,,Gender identity
"Cook, Maria",Gender identity : beyond pronouns and bathrooms,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,Gender Identity: Beyond Pronouns and Bathrooms
"Light, Kate","Gender identity : the
 search for self",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,1,,Gender Identity: The Search for Self
"Winfield, Cynthia
 L.","Gender identity : the
 ultimate teen guide",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,2,,Gender Identity: The Ultimate teen guide
"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Gender Identity: Beyond Pronouns and Bathrooms
"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Prosper ISD,Texas,,removed from Middle School Only,yes,Removed,Complaint Filed - status unclear,middle school only,,,,,2,,Gender Identity: Beyond Pronouns and Bathrooms
"Light, Kate",Gender Identity: The Search for Self,Klein ISD,Texas,yes,,Informal Challenge,removed while under investigation.,,,,,,,,,Gender Identity: The Search for Self
"Light, Kate",Gender Identity: The Search for Self,Klein ISD,Texas,yes,,Informal Challenge,removed while under investigation.,,,,,,,,,Gender Identity: The Search for Self
"Light, Kate",Gender Identity: The Search for Self,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,Gender Identity: The Search for Self
"Winfield, Cynthia",Gender Identity: The Ultimate teen guide,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,Gender Identity: The Ultimate teen guide
"McIntosh,
 Kenneth",Gender issues,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,1,,Gender issues
"Lerner, K. Lee ",Gender Issues and Sexuality: Essential Primary Sources,Tennessee,Collierville Schools,Yes,FOUR,no challenge,back on shelves maybe,,,,,,,,,Gender Issues and Sexuality: Essential Primary Sources
"Kobabe, Maia",Gender Queer: A Memoir,West Ada School District,Idaho,yes,4,Challenged,Removed,February 2022,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Harlem School District 122,Illinois,yes,,Formal Challenge Filed,BANNED,board over-ruled committe recommendation. Said it was picture,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Hudson,Ohio,yes,,Formal Challenge Filed,RETAINED,"Challenged; Principal returned to shelves; parent appealed to committee; under review by committee not available - UPDATE: RETURNED TO SHELVES and parent appealing to board; FINAL: Returned to shelves - BUT, created a system for parents to view what their child checks out and requires additional materials to ber part of the book",,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Regional School Unit 40,Maine,n/a,2nd challenge - retained after 1st in October 2021,Formal Challenge Filed,Already Challenged in 2021 - retained,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Regional School Unit No. 56,Maine,yes,,Formal Challenge Filed,Banned,6/1/2022 - Retained,Written appeals from Bonnie McKenna with students in ES and HS and another mom,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Spring Lake Public Schools,Michigan,,,Formal Challenge Filed,,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Ankeny Community School District,Iowa,yes,https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/,Formal Challenge Filed,Banned,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Arlington Central School District,New York,n/a,,Formal Challenge Filed,ON shelves during challenge,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Birdville,Texas,yes,Richland High School,Formal Challenge Filed,Banned,Removed from RHS and all Birdville ISD Collections,,media attention and other districts,no,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Carlisle Community Schools,Iowa,,,Formal Challenge Filed,Retained after being appealed to board,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Connetquot School District,New York,,,Formal Challenge Filed,Removed while under investigation,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Harrisonburg,Virginia,yes,SD In Harrisonberg VA reviewing Gender Queer in School,Formal Challenge Filed,Removed WHile Under Review,Removed - parent refused to return book,,"After protest and NCAC comments, SD implementing proper review policies.",,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Lake Forest Schools,Illinois,yes,,Formal Challenge Filed,Partial Ban - Permanent restriction,Parental permisison required to check out,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Round Rock,Texas,,,Formal Challenge Filed,,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Salem-Keizer Public Schools,Oregon,no,GRANDPARENTS filed complaint,Formal Challenge Filed,Retained,"""Salem Keizer We Stand Together""",,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,School Administrative District 6,Maine,ln/a,,Formal Challenge Filed,appealed - now in hands of board. probably still on shelves,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Waltham Public Schools,Massachuesetts,yes,,Formal Challenge Filed,Retained with restriction,,marked as explicit material and moved to reflect memoir status,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Blue Valley USD 229,Kansas,n/a,,Formal Challenge Filed,Retained March 2022,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Community HIgh School District 17,Illinois,yes,,Formal Challenge Filed,Returned to shelves April 2022,"Intermediate solutionnot on shelves, behind circulation desk",,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Shawnee Heights Unified School District 450,Kansas,n/a,GOP Senator publically called for it to be pulled immediatley,Formal Challenge Filed,RETAINED,Superintendent pushed back hard,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Wappingers Central School District,New York,yes,library and school,Formal Challenge Filed,Removed from school/libraries,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Adams 12 Five Star Schools,Colorado,n/a,,Informal Challenge,,During public comment - board meeting,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Erie County School District,Pennsylvania,yes,,Informal Challenge,Superintendent pulled after reviewing images in book,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Fort Bend ISD,Texas,n/a,,Informal Challenge,Probably on shelves,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Tulsa Public Schools,Oklahoma,yes,,Informal Challenge,removed,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,University Schools Middle and High School Libraries (Charter School),Colorado,n/a,,Informal Challenge,unclear,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Baltimore County Public Schools,Maryland,n/a,social media,Informal Challenge,no action yet,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Barrington 220 Community Unit School District,Illinois,n/a,on a summer reading list,Informal Challenge,SUSTAINED,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Goddard,Kansas,yes,"removed while under review - against published policy after pushback, returned to shelves while policies under review",Informal Challenge,Challenged - Prob on Shelves,11/21 - Returneed to shelves while reviewing book challenge policies,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Jefferson County Public Schools,Kentucky,n/a,,Informal Challenge,in a board meeting,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Loudoun County Public School,Virginia,yes,,Informal Challenge,Banned,Removed from library shelves,,2021,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,North Kingston,Rhode Island,n/a,,Informal Challenge,Challenged - Prob on Shelves,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Radnor Township Schools,Pennsylvania,n/a,,Informal Challenge,Challenge in board meeting,October 2021,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Savannah-Chatham County Public School SYstem,Georgia,n/a,,Informal Challenge,,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Wake County,North Carolina,n/a,Pulled BRIEFLY at first while under review,Informal Challenge,Pending - on shelves,criminal complaints filed against school district,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Wayne Public Schools,New Jersey,n/a,,Informal Challenge,unclear,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Wissahickon,Pennslyvania,yes,status? unclear,Informal Challenge,Removed,Removed while under review,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Brevard County Public Schools,Florida,yes,Superintendent initiatied,no,Removed,Removed,,without following disrict procedures,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Downington Area School District,Pennslyvania,yes,,no,"Removed - 10/21
Returned 1/22",Removed from shelves since October against policy,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Fort Mill,South Carolina,yes,,no,Banned,Removed Permanently,,decision made w/out review process by school administration,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,North Hunterton,New Jersey,yes,,no,Retained,Retained in collection 1/2022,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Orange County,Florida,yes,,no,banned,"Removed by Superintendent - said the conversation was ""disruptive to the course of school"" so policy did not need to be followed.","Removed by Superintendent - said the conversation was ""disruptive to the course of school"" so policy did not need to be followed. In March a Review Committee discussed the book and made a recommendation to Leadership to bring it back, but Leadership is waiting until new policies drop re: HB1557/HB1467",,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Pennridge School District,Pennslyvania,,,no,,removed,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Pinellas,Florida,yes,parent complaint straight to board?,no,Removed - Restricted to Student Services,Removed,,available in student services district material for administration,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Spring Branch,Texas,yes,"said they would remove based on ""prevasively vulgar material""",no,Banned,Removed - unclear,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Fairview School District,Pennslyvania,yes,,No Challenge Filed,Banned,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Anchorage School District,Alaska,yes,,No Challenge Filed,Banned,Removed by Superintendent,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Clear Creek ISD,Texas,yes,12/2022,No Challenge Filed,Banned,Internal Audit,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Cypress-Fairbanks,Texas,yes,12/2021,No Challenge Filed,Banned,Krause List,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Killeen ISD,Texas,,November 2021,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,North Penn High School,Pennslyvania,yes,"""Critical Race Theory""",No Challenge Filed,Removed While Under Review,was at high school,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Osceola,Florida,yes,,No Challenge Filed,Media Specialists where book was present decided to “weed” book due to complaints in area about the book and a lack of interest at each school for it (never checked out),WEED,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Palm Beach County School District,Florida,yes,"member of the Board said this book was one of three awaiting review by the leadership team when pressed by NPR News reporter, filed PRR 6/1/22 to confirm",No Challenge Filed,pulled from shelves,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,West Chester,Pennslyvania,not yet,also included lots of comments about CRT,"probablyly challenge,d unclearr",RETAINED 3/2022,needs further reserach - includes LAWN BOY,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Waukee,Iowa,yes,,unclear,Removed,,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Billings Public Schools,Montana,not applicable,"""explicit sexual descriptions""",yes,retained,Challenged; Retained; Appealed; Remove Recommended; Retained,,,,,,,,Gender Queer: A Memoir
"Kobabe, Maia",Gender Queer: A Memoir,Bremerton,Washington,yes,,yes,Banned,,,,,,,,,Gender Queer: A Memoir
