Author,Secondary Author(s),Illustrators,Translators,Book,clustered_book,School District,Missouri,IN P DOC,Date,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,Oryx and Crake (The MaddAddam Series),Oryx and Crake (The MaddAddam Series),Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnes, Jennifer Lynn",,,,The Fixer,The Fixer,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Callender, Kacen",,,,Felix Ever After,Felix Ever After,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capin, Hannah",,,,Foul is Fair,Foul is Fair,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chbosky, Stephen",,,,The Perks of Being a Wallflower,The Perks of Being a Wallflower,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",RETURNED TO SHELVES 9-12 ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Choi, Mary H.K.",,,,Yolk,Yolk,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clare, Cassandra",,,,City of Heavenly Fire (The Mortal Instruments Series),City of Heavenly Fire,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clare, Cassandra",,,,Clockwork Princess (The Infernal Devices Series),Clockwork Princess,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",,,,Flamer,Flamer,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foer, Jonathan Safran",,,,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
